name,height,hash,time,latest_url,previous_hash,previous_url,peer_count,unconfirmed_count,high_gas_price,medium_gas_price,low_gas_price,high_priority_fee,medium_priority_fee,low_priority_fee,base_fee,last_fork_height,last_fork_hash
ETH.main,18780334,604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,2023-12-13T22:50:50.852879434Z,https://api.blockcypher.com/v1/eth/main/blocks/604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,00b2c6ffbd61f9f44d3ffdb3d62d60d4876e7abffcbc3692d89630845efe10a7,https://api.blockcypher.com/v1/eth/main/blocks/00b2c6ffbd61f9f44d3ffdb3d62d60d4876e7abffcbc3692d89630845efe10a7,18,60102,58063946892,51859335298,46555184352,911910977,685354316,530011002,51130082736,18779074,80b3cf7fe46443958382d4df2c812a4d2ac7e8053e0388e71f9fd0e503f7efe5
ETH.main,18780334,604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,2023-12-13T22:50:50.852891019Z,https://api.blockcypher.com/v1/eth/main/blocks/604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,00b2c6ffbd61f9f44d3ffdb3d62d60d4876e7abffcbc3692d89630845efe10a7,https://api.blockcypher.com/v1/eth/main/blocks/00b2c6ffbd61f9f44d3ffdb3d62d60d4876e7abffcbc3692d89630845efe10a7,10,60230,58063946892,51859335298,46555184352,911910977,685354316,530011002,51130082736,18779074,80b3cf7fe46443958382d4df2c812a4d2ac7e8053e0388e71f9fd0e503f7efe5
ETH.main,18780334,604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,2023-12-13T22:50:50.852893673Z,https://api.blockcypher.com/v1/eth/main/blocks/604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,00b2c6ffbd61f9f44d3ffdb3d62d60d4876e7abffcbc3692d89630845efe10a7,https://api.blockcypher.com/v1/eth/main/blocks/00b2c6ffbd61f9f44d3ffdb3d62d60d4876e7abffcbc3692d89630845efe10a7,8,60088,58063946892,51859335298,46555184352,911910977,685354316,530011002,51130082736,18779074,80b3cf7fe46443958382d4df2c812a4d2ac7e8053e0388e71f9fd0e503f7efe5
ETH.main,18780334,604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,2023-12-13T22:50:50.852891019Z,https://api.blockcypher.com/v1/eth/main/blocks/604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,00b2c6ffbd61f9f44d3ffdb3d62d60d4876e7abffcbc3692d89630845efe10a7,https://api.blockcypher.com/v1/eth/main/blocks/00b2c6ffbd61f9f44d3ffdb3d62d60d4876e7abffcbc3692d89630845efe10a7,10,60259,58063946892,51859335298,46555184352,911910977,685354316,530011002,51130082736,18779074,80b3cf7fe46443958382d4df2c812a4d2ac7e8053e0388e71f9fd0e503f7efe5
ETH.main,18780334,604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,2023-12-13T22:50:50.852891019Z,https://api.blockcypher.com/v1/eth/main/blocks/604ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,00b2c6ffbd61f9f44d3ffdb3d62d60d4876e7abffcbc3692d89630845efe10a7,https://api.blockcypher.com/v1/eth/main/blocks/00b2c6ffbd61f9f44d3ffdb3d62d60d4876e7abffcbc3692d89630845efe10a7,10,60285,58063946892,51859335298,46555184352,911910977,685354316,530011002,51130082736,18779074,80b3cf7fe46443958382d4df2c812a4d2ac7e8053e0388e71f9fd0e503f7efe5
ETH.main,18780335,1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,2023-12-13T22:51:02.709695726Z,https://api.blockcypher.com/v1/eth/main/blocks/1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,004ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,https://api.blockcypher.com/v1/eth/main/blocks/004ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,10,60185,58063946892,51807445233,46555184352,885321841,682695402,530011002,49492540003,18779074,80b3cf7fe46443958382d4df2c812a4d2ac7e8053e0388e71f9fd0e503f7efe5
ETH.main,18780335,1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,2023-12-13T22:51:02.709711787Z,https://api.blockcypher.com/v1/eth/main/blocks/1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,004ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,https://api.blockcypher.com/v1/eth/main/blocks/004ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,18,60090,58063946892,51807445233,46555184352,885321841,682695402,530011002,49492540003,18779074,80b3cf7fe46443958382d4df2c812a4d2ac7e8053e0388e71f9fd0e503f7efe5
ETH.main,18780335,1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,2023-12-13T22:51:02.709711787Z,https://api.blockcypher.com/v1/eth/main/blocks/1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,004ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,https://api.blockcypher.com/v1/eth/main/blocks/004ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,18,60107,58063946892,51807445233,46555184352,885321841,682695402,530011002,49492540003,18779074,80b3cf7fe46443958382d4df2c812a4d2ac7e8053e0388e71f9fd0e503f7efe5
ETH.main,18780335,1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,2023-12-13T22:51:02.709562115Z,https://api.blockcypher.com/v1/eth/main/blocks/1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,004ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,https://api.blockcypher.com/v1/eth/main/blocks/004ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,8,60090,58063946892,51807445233,46555184352,885321841,682695402,530011002,49492540003,18779074,80b3cf7fe46443958382d4df2c812a4d2ac7e8053e0388e71f9fd0e503f7efe5
ETH.main,18780335,1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,2023-12-13T22:51:02.709695726Z,https://api.blockcypher.com/v1/eth/main/blocks/1e0eb19d32d2a4e9eca9fceeddb055a7ca5a7b87606304aaf643c32543686074,004ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,https://api.blockcypher.com/v1/eth/main/blocks/004ee334c291010aafea991a29f300841e2818df7720d022aef821fec6ff4e00,10,60256,58063946892,51807445233,46555184352,885321841,682695402,530011002,49492540003,18779074,80b3cf7fe46443958382d4df2c812a4d2ac7e8053e0388e71f9fd0e503f7efe5
