block_height,date,total_ethereum_supply,blockReward,totalFees,burntFees
19900000,2024-05-18T23:06:23Z,122373866217800000000000000,6368403685799875,44642925187848510,8906790952080000
20000000,2024-06-01T22:36:47Z,122373866217800000000000000,22210936792725994,84164448280386990,13892599012824000
22037972,2025-03-13T12:33:23Z,122373866217800000000000000,98367233686093114,122568775470921310,5508378429246000
19800000,2024-05-04T23:24:11Z,122373866217800000000000000,12827179708150731,53072334293869340,10515589562100000
19000000,2024-01-13T19:17:23Z,122373866217800000000000000,83976977080159442,276871975794601060,56042996812572000
18000000,2023-08-26T16:21:35Z,122373866217800000000000000,30697207500857250,383604366542520500,42877434899334000
17000000,2023-04-07T23:58:11Z,122373866217800000000000000,32319017192128108,220872919006082430,44088226751646000
16000000,2022-11-18T22:51:47Z,122373866217800000000000000,75929495233511142,287325439543457600,49318866600759000
15000000,2022-06-21T02:28:20Z,122373866217800000000000000,2203533570014532559,628210921875033900,103455534237552000
14000000,2022-01-13T22:59:55Z,122373866217800000000000000,2071977361231811842,1205030542548973000,328201747483008000
13000000,2021-08-10T21:53:39Z,122373866217800000000000000,2012265096849497316,71569722100480950,16507698964554000
12000000,2021-03-08T20:20:16Z,122373866217800000000000000,3861611277276478773,1861611277276478700,NaN
11000000,2020-10-06T04:17:04Z,122373866217800000000000000,2621501863366757631,621501863366757600,NaN
10000000,2020-05-04T13:22:13Z,122373866217800000000000000,2076666174258588768,76666174258588770,NaN
9000000,2019-11-25T18:27:24Z,122373866217800000000000000,2141606262793680368,141606262793680370,NaN
8000000,2019-06-21T06:55:49Z,122373866217800000000000000,2091021160754738817,91021160754738820,NaN
7000000,2019-01-02T22:09:12Z,122373866217800000000000000,3016312383873000000,16312383873000000,NaN
22040962,2025-03-13T22:33:47Z,122373866217800000000000000,8046233245225941,14425280812737200,1606163256873000
22043785,2025-03-14T08:00:47Z,122373866217800000000000000,7332843049249660,11964028192390876,1423587467232000
undefined,undefined,122373866217800000000000000,67081127378583385,undefined,NaN
22052556,2025-03-15T13:23:59Z,122373866217800000000000000,null,19438597147085348,1695584484237000
22059727,2025-03-16T13:25:11Z,122373866217800000000000000,null,21474699344844988,1350405210189000
22066925,2025-03-17T13:31:23Z,122373866217800000000000000,170048769335113080,181881312232522050,2597293704096000
22074072,2025-03-18T13:30:47Z,122373866217800000000000000,28530392739617744,37513698713921820,2071841115876000
22081225,2025-03-19T13:30:35Z,122373866217800000000000000,31085409435024002,58052724140780190,5902144655484000
undefined,undefined,122373866217800000000000000,20148550844263493,undefined,NaN
22095545,2025-03-21T13:29:11Z,122373866217800000000000000,238087156738024950,247586192471215840,1212671348658000
22102691,2025-03-22T13:23:35Z,122373866217800000000000000,null,13690979312911320,810848096352000
22109876,2025-03-23T13:24:59Z,122373866217800000000000000,3777980344228343,9485610052420908,656740510440000
undefined,undefined,122373866217800000000000000,720257813912558,undefined,NaN
22124230,2025-03-25T13:31:23Z,122373866217800000000000000,4444807819523271,13398249840778180,2349823926240000
22131393,2025-03-26T13:31:11Z,122373866217800000000000000,47321983772495670,87647072422995840,8660912011584000
22138565,2025-03-27T13:30:59Z,122373866217800000000000000,null,62907665986605430,4423126648122000
22145717,2025-03-28T13:29:59Z,122373866217800000000000000,15765319723452800,33160343648871800,3394821675294000
22152845,2025-03-29T13:25:23Z,122373866217800000000000000,27760873946235629,37954143708615870,2233469616000000
22160012,2025-03-30T13:25:47Z,122373866217800000000000000,31097881108945447,37774536570272840,1552511883195000
22167214,2025-03-31T13:31:35Z,122373866217800000000000000,6023088026746430,23427852577048150,3889459221900000
22174377,2025-04-01T13:32:47Z,122373866217800000000000000,21363503263683053,45954558513862184,5578919231277000
22181542,2025-04-02T13:31:23Z,122373866217800000000000000,77004871083189510,102759725485875900,4901738096514000
22188694,2025-04-03T13:31:11Z,122373866217800000000000000,8581122751840114,31198436179091776,3869547331314000
22195863,2025-04-04T13:30:35Z,122373866217800000000000000,17041201933755479,35549987635119340,2900618602875000
22202997,2025-04-05T13:25:35Z,122373866217800000000000000,12162910224096646,23265931513621730,1247070217428000
22210160,2025-04-06T13:26:47Z,122373866217800000000000000,14821046832942098,27233376160525770,1942888582656000
22217343,2025-04-07T13:32:35Z,122373866217800000000000000,224731317762907386,359358139945259700,40292742626304000
22224502,2025-04-08T13:31:59Z,122373866217800000000000000,129001837379519520,159835442654236100,7799310926736000
22231672,2025-04-09T13:33:23Z,122373866217800000000000000,null,111683473817693570,6020730239559000
22238848,2025-04-10T13:32:11Z,122373866217800000000000000,185086236220158917,307930395210661570,2733701721408000
22246017,2025-04-11T13:31:47Z,122373866217800000000000000,6116630314079700,17485963920061980,3025990520280000
22253165,2025-04-12T13:25:23Z,122373866217800000000000000,37539571320517790,50875173899467040,2948674486590000
22260354,2025-04-13T13:29:11Z,122373866217800000000000000,null,34619142256710176,1880598413190000
22267548,2025-04-14T13:32:59Z,122373866217800000000000000,null,44421850007943390,4150417563348000
22274703,2025-04-15T13:32:59Z,122373866217800000000000000,null,60646898902373620,4483061520966000
22281874,2025-04-16T13:32:11Z,122373866217800000000000000,null,94616645523604080,2640551613525000
22289030,2025-04-17T13:31:23Z,122373866217800000000000000,62847206296785182,72154561597125760,1445347656060000
22296186,2025-04-18T13:28:59Z,122373866217800000000000000,10112027612764736,17067487246237536,1235090568159000
22303340,2025-04-19T13:26:47Z,122373866217800000000000000,12578714527986242,36880231598380730,1710000205935000
22310509,2025-04-20T13:27:59Z,122373866217800000000000000,null,48793795406970080,1479254855148000
